id	text	title
13893783	Agnes Mortimer, Countess of Pembroke <nowiki> </nowiki> Agnes Mortimer, Countess of Pembroke (1317 – 25 July 1368) was the wife of Laurence Hastings, 1st Earl of Pembroke. She was a daughter of Roger Mortimer, 1st Earl of March and Joan de Geneville, Baroness Geneville. Agnes Mortimer was one of the twelve children of Roger Mortimer, 1st Earl of March and Joan de Geneville, Baroness Geneville. Her paternal grandparents were Edmund Mortimer, 2nd Baron Mortimer and Margaret de Fiennes. Her maternal grandparents were Piers de Geneville, of Trim Castle and Ludlow, and Jeanne of Lusignan. Agnes' father had just been created	Agnes Mortimer, Countess of Pembroke
13157422	George I Šubić of Bribir George I Šubić of Bribir () (c. 1277 – 1302) was the Count of Trogir, and a member of the Croatian Šubić noble family. Juraj I Šubić was brother of Paul I Šubić of Bribir, who was the most powerful Croatian noble at the end of the 13th century and beginning of the 14th century. In Dalmatia, Paul appointed his brothers as commissars of Dalmatian cities. He gave Split to his brother Mladen I, and Šibenik, Nin, Trogir and Omiš to his brother Juraj I Šubić. Juraj I Šubić had his seat in Klis Fortress,	George I Šubić of Bribir
11617151	Secretary of State William P. Rogers restored relations following a visit to Sana'a in July 1972, and a new USAID agreement was concluded in 1973. On December 7, 1967, the United States recognized the People's Democratic Republic of Yemen and elevated its Consulate General in Aden to embassy status. However, relations were strained. The PDRY was placed on the list of nations that support terrorism. On October 24, 1969, south Yemen formally broke diplomatic relations with the United States. The United States and the PDRY reestablished diplomatic relations on April 30, 1990, only 3 weeks before the announcement of unification.	United States–Yemen relations
20536462	"Millôr Fernandes and Gilberto Gil. In 2012 she published ""Umas Palavras - 15 entrevistas memoráveis,"" with compilations of interviews selected from the first ten years of her show. A television screenwriter, she is the co-author of the telenovela ""Tempo de Amar"" on TV Globo (Sept. 2017 – March 2018). Bia Corrêa do Lago is married since 1994 to Pedro Corrêa do Lago, a Brazilian author, publisher and art historian. She has two sons from a previous marriage. Bia Corrêa do Lago Maria Beatriz Fonseca Corrêa do Lago, better known as Bia Corrêa do Lago (Rio de Janeiro, April 3, 1958)"	Bia Corrêa do Lago
16663125	"national television programs, including: Dr. Oz, CNN’s Dr. Sanjay Gupta, Anderson Cooper 360, NBC and ABC affiliates and was a featured speaker at the Georgia Children’s Health Alliance ‘Refocus’ Launch. Following his love of football, Tiger partnered with the NFL, including player Marcus Stroud. Together they started a series of fitness camps to inspire thousands of young people to lose weight and get more active. These Sacking Obesity Health & Wellness Camps are run by Team Tiger and the Marcus Stroud Charitable Foundation. Tiger Greene's ""Sacking Obesity: The Team Tiger Game Plan for Kids Who Want to Lose Weight, Feel"	Team Tiger
1858909	"Lancelot and Elaine of Carbonek, is actually the Knight who is worthy of the Holy Grail. Boorman follows the earlier version of the tale as told by Chrétien de Troyes, making Perceval the grail winner. Some new elements were added, such as Uther wielding Excalibur before Arthur (repeated in ""Merlin""), Merlin's 'Charm of Making' (written in Old Irish), and the concept of the world as ""the dragon"" (probably inspired by the dragon omen seen in Geoffrey of Monmouth's account of Merlin's life). According to linguist Michael Everson, the ""Charm of Making"" that Merlin speaks to invoke the dragon is an"	Excalibur (film)
17356561	"Tie It Up ""Tie It Up"" is a song by American recording artist Kelly Clarkson, written by Ashley Arrison, Shane McAnally and Josh Osborne and released as a stand-alone single by RCA Records and Columbia Nashville on June 25, 2013. ""Tie It Up"" was written by Ashley Arrison, Shane McAnally and Josh Osborne. It marked Clarkson's second solo country single and her third as a main act, following the country reissue of ""Mr. Know It All"" (2012), and ""Don't Rush"" (2012). It was released as a digital download on June 25, 2013 worldwide, making it her first country single to"	Tie It Up
11940111	"Information's ""Britain's Efforts and Ideals"" portfolio of images which were exhibited in Britain and abroad and were also sold as prints to raise money for the war effort. In May 1917 he accepted an official war artist commission from the Department of Information. Kennington was commissioned to spend a month on the Western Front but he applied for numerous extensions and eventually spent seven and a half months in France. Kennington was originally based at the Third Army Headquarters and would spend time at the front lines near Villers-Faucon. Later during this tour, his friend William Rothenstein was also appointed"	Eric Kennington
15851682	He elected free agency after the season. On January 22, 2018, Lavarnway signed a minor league contract with the Pittsburgh Pirates, with an invitation to spring training. He hit .288/.375/.485 in 77 games for Triple-A Indianapolis, was called up to Pittsburgh on September 4, and had four hits in six at bats for the Pirates. He elected free agency on November 3. On November 6, 2018, Lavarnway signed a minor league deal with the New York Yankees with an invitation to spring training. Lavarnway played for Israel at the 2017 World Baseball Classic qualifier. Throughout the qualifier, Lavarnway was the	Ryan Lavarnway
11738144	"of the ""Dear Evan Hansen"" song ""Waving Through a Window"" for the deluxe edition of the cast recording, released on November 2, 2018. The show's creators Benj Pasek and Justin Paul had requested Perry to cover the song to promote the musical's national tour and bring awareness to mental health. On November 15, Perry released ""Cozy Little Christmas"" exclusively with Amazon Music. She also recorded the song ""Immortal Flame"" for the game ""Final Fantasy Brave Exvius"", and had a playable character modeled after her. During the early stages of her career, Perry's musical style gravitated towards gospel and she aspired"	Katy Perry
1666641	"Berchtesgadener Land Berchtesgadener Land is a ""Landkreis"" (district) in Bavaria, Germany. It is bounded by the district of Traunstein and by the state of Austria. The southern alpine regions were part of the stem duchy of Bavaria from the early Middle Ages. The 11th and 12th centuries saw the founding of numerous mountain villages. One of these settlements was Berchtesgaden, which later assumed a more dominant role in the administrative district that now bears its name. The northern portion of the Salzach river valley was traditionally part of the Prince-Archbishopric of Salzburg (an imperial principality ruled by the archbishop of"	Berchtesgadener Land
1438431	meters interpreted by a built-in computer, see metering mode. Negative/Print film tends to bias for exposing for the shadow areas (film dislikes being starved of light), with digital favouring exposure for highlights. See latitude below. Latitude is the degree by which one can over, or under expose an image, and still recover an acceptable level of quality from an exposure. Typically negative film has a better ability to record a range of brightness than slide/transparency film or digital. Digital should be considered to be the reverse of print film, with a good latitude in the shadow range, and a narrow	Exposure (photography)
9701686	Agnese Maffeis Agnese Maffeis (born 9 March 1965, in Bergamo) is an Italian discus thrower and shot putter. She won six medals, at senior level, at the International athletics competitions. She has 73 caps in national team from 1981 to 2003, second Italian athlete of all-time behind Marisa Masullo that have 79 caps. She finished twelfth at the 1989 World Indoor Championships and eighth at the 1997 World Championships. She also competed in the 1996 Olympics, but failed to qualify from her pool. At the Mediterranean Games she won gold medals in shot put in 1987 and 1993 and in	Agnese Maffeis
15326440	"Land"". In addition, it was nominated for Vocal Event of the Year at the Country Music Association awards, Best Country Collaboration with Vocals at the 51st Grammy Awards, and Vocal Event of the Year at the 44th Annual Academy of Country Music awards. Life in a Northern Town ""Life in a Northern Town"" is a song by British group The Dream Academy. The song is the lead single from their self-titled debut studio album ""The Dream Academy,"" released in 1985. The song was written as an elegy to British folk musician Nick Drake, who died in 1974, and the single's"	Life in a Northern Town
